pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,822.6362146237409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,831.3450261454402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,838.0454998375228
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,838.7487687076909
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,838.3291241674957
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,828.0799799650671
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,823.0698266249387
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,824.3117900833183
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,832.3752113835208
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.4832113339714
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,843.0863675273933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,840.3590307480466
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,830.0376590661655
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,824.9479072575814
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,826.8010616139848
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,833.2412884659766
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,841.7996421377691
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,845.2027967564059
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,842.3850848866787
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,831.8914623893526
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,826.307298000222
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,829.3032369555558
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,836.9183364559226
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,843.9062264208744
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,847.2412090570018
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,844.3086254497289
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,837.3904820109082
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,830.2741666451743
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,831.2099772514064
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,838.0112593597202
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,849.0690364037683
